date,close,close_pred
2021-03-11,4.8e-06,4.747500230847108e-06
2021-03-12,5.65e-06,5.3152796937503565e-06
2021-03-13,4.94e-06,5.0452872299109475e-06
2021-03-14,4.71e-06,4.67840244761877e-06
2021-03-15,4.86e-06,4.5794350431515985e-06
2021-03-16,5.61e-06,5.152925831305111e-06
2021-03-17,6.37e-06,6.527045961208651e-06
2021-03-18,6.55e-06,6.30927928836641e-06
2021-03-19,7.18e-06,6.899408592183356e-06
2021-03-20,7.94e-06,7.601893511074649e-06
2021-03-21,8.5e-06,9.022782022883375e-06
2021-03-22,1.013e-05,9.510418861783869e-06
2021-03-23,8.84e-06,9.854670980407989e-06
2021-03-24,9.05e-06,9.334880959058917e-06
2021-03-25,9.77e-06,9.434764193945386e-06
2021-03-26,1.031e-05,9.920301202373061e-06
2021-03-27,1.135e-05,1.0943764615378095e-05
2021-03-28,1.208e-05,1.183807713516579e-05
2021-03-29,1.182e-05,1.2059021646752002e-05
2021-03-30,1.082e-05,1.06917285665237e-05
2021-03-31,9.92e-06,1.004833189502163e-05
2021-04-01,1.075e-05,9.935077326447068e-06
2021-04-02,9.1e-06,9.413090549314718e-06
2021-04-03,8.83e-06,9.134998748717546e-06
2021-04-04,1.029e-05,9.704067575444412e-06
2021-04-05,9.26e-06,9.250406627543307e-06
2021-04-06,9.05e-06,9.14233519794995e-06
2021-04-07,8.14e-06,6.590708256538274e-06
2021-04-08,8.55e-06,8.474336425995574e-06
2021-04-09,8.55e-06,8.227927234948063e-06
2021-04-10,8.89e-06,9.085598701760964e-06
2021-04-11,9.48e-06,9.36409285672048e-06
2021-04-12,8.45e-06,8.602965347604534e-06
2021-04-13,7.81e-06,7.866646447251266e-06
2021-04-14,7.96e-06,7.5045881474550545e-06
2021-04-15,8.31e-06,8.07186231584682e-06
2021-04-16,7.86e-06,7.604850787854309e-06
2021-04-17,7.93e-06,7.838562846065894e-06
2021-04-18,7.55e-06,6.84097213917096e-06
2021-04-19,7.1e-06,7.271164926836328e-06
2021-04-20,7.02e-06,6.552722193254508e-06
2021-04-21,7.45e-06,8.155260006509869e-06
2021-04-22,6.65e-06,6.927764410956664e-06
2021-04-23,6.48e-06,6.0475288701103904e-06
2021-04-24,5.94e-06,6.158057015029887e-06
2021-04-25,5.97e-06,6.073744036321767e-06
2021-04-26,6.6e-06,6.369171730652176e-06
2021-04-27,7.2e-06,6.897302661233986e-06
2021-04-28,6.99e-06,7.021676532326116e-06
2021-04-29,7.38e-06,7.116021852992878e-06
2021-04-30,7.68e-06,7.995605856376483e-06
2021-05-01,8.2e-06,7.864041636273107e-06
2021-05-02,7.88e-06,7.77610655762111e-06
2021-05-03,7.95e-06,7.74750523260307e-06
2021-05-04,8.35e-06,7.88418240626629e-06
2021-05-05,7.98e-06,8.146499837449621e-06
2021-05-06,7.64e-06,7.704779406611746e-06
2021-05-07,7.67e-06,7.873568540990234e-06
2021-05-08,7.35e-06,7.372986924848186e-06
2021-05-09,7.22e-06,7.086081732326544e-06
2021-05-10,6.76e-06,6.823454938321755e-06
2021-05-11,7.44e-06,6.981677586726022e-06
2021-05-12,6.37e-06,6.5541597954601776e-06
2021-05-13,6.73e-06,6.638202751833235e-06
2021-05-14,7.19e-06,6.930740759908281e-06
2021-05-15,6.92e-06,6.821258296722428e-06
2021-05-16,6.93e-06,6.822974359722613e-06
2021-05-17,6.86e-06,6.7338060775605034e-06
2021-05-18,7.47e-06,7.000188956415275e-06
2021-05-19,5.33e-06,5.357409172028202e-06
2021-05-20,5.47e-06,5.2120529053525844e-06
2021-05-21,4.78e-06,4.840453133357162e-06
2021-05-22,4.42e-06,4.450379051267956e-06
2021-05-23,3.76e-06,3.6296647287401307e-06
2021-05-24,6.05e-06,5.096187596599421e-06
2021-05-25,5.45e-06,5.480102272652834e-06
2021-05-26,5.65e-06,5.442681341049643e-06
2021-05-27,5.25e-06,5.234730581793497e-06
2021-05-28,4.84e-06,4.911675063326464e-06
2021-05-29,4.85e-06,4.965610902485319e-06
